idx,name,score,writer,age_limit,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,keywords
153,태릉좀비촌,9.36,하얀독수리,0,1,0,0,0,0,0,1,0,0,0,0,0,"['강도', '구역', '유도', '양궁', '대한민국', '선수', '능력', '운동', '리스트', '목숨', '중요', '엘리트', '선수촌', '훈련', '신체', '은메달', '격리', '운동선수', '바이러스']"
154,영월동 534번지,9.77,임성훈,0,1,0,0,1,0,0,0,0,0,0,0,0,"['치킨', '영웅', '시티']"
155,토니와 함께,9.92,정성완,0,1,0,1,0,0,0,0,0,0,0,0,0,"['일상', '반복', '가슴', '소심', '사고', '에피소드', '발생', '좌충우돌', '반전', '사건']"
156,스마일브러시,9.94,와루,0,1,0,0,1,0,0,0,0,0,0,0,0,"['아저씨', '하루', '라인', '버전', '열정', '다이내믹', '연재', '한국어', '감상', '밥풀']"
157,밥풀때기,9.8,Dylan,0,1,0,0,0,0,0,1,0,0,0,0,0,"['매진', '학업', '나래', '배우', '포기', '방황', '이원', '영화']"
158,1인용 기분,9.97,윤파랑,0,1,0,0,0,0,0,1,0,0,0,0,0,"['자취방', '황폐', '강아지', '도피', '인생', '목표', '부모님', '발견', '여정', '내가', '부모', '전염병', '존재', '세상']"
159,어른의 계절,9.83,선홍달,0,1,0,0,0,0,0,0,1,0,0,0,0,"['기분', '혼자']"
160,우리 안의 주,9.12,폭스바니,0,1,0,0,0,0,0,1,0,0,0,0,1,"['선물', '학교', '처음', '사랑', '그림', '생활', '이후', '플라워', '왕국', '인연', '엄마', '저주', '수족관', '상은', '유학', '시장', '공주', '친구', '청년', '금붕어', '군대', '세계', '공부', '미술', '제대', '프란시스']"
161,견원지간 로맨스,9.6,최현옥,0,1,0,1,0,0,0,0,0,0,0,0,0,"['동아리', '신입생', '괴짜', '주인공', '환영', '오명', '술꾼', '부침개', '주사', '극복', '별명']"
162,한스와 에밀리,9.92,김지효,0,1,0,0,0,0,0,0,1,0,0,0,0,"['어른', '일편단심', '겨울', '에피소드', '동화']"
163,겨울동화,9.89,심윤수,0,1,0,1,0,0,0,0,0,0,0,0,0,"['앨범', '추억', '시절', '사진']"
164,피터팬날다,8.82,서랍천사,0,1,0,0,0,0,0,1,0,0,0,0,0,"['중함', '가족', '변화', '할머니', '죽음', '생각']"
165,"스마일 브러시, 오래된 사진.",9.94,와루,0,1,0,1,0,0,0,0,0,0,0,0,0,"['동물', '적인', '사랑']"
166,동경소녀,9.66,로보타,0,1,0,1,0,0,0,0,0,0,0,0,0,"['가작', '철학', '수상작', '느림', '현실', '한국', '태풍', '콘텐츠', '마음', '소년', '진흥원', '애착', '공모전', '적응']"
167,가족의 초상,9.75,김승택,0,1,0,1,0,0,0,0,0,0,0,0,0,"['일상', '사춘기', '아빠', '몽상', '가족', '시트콤', '상상', '소녀', '남동생', '중심', '엄마']"
