제목,작가,평점,장르,연령,한줄 스토리,스토리 키워드,학원물
스퍼맨: 현자단의 역습,하일권,9.95,"에피소드, 드라마",0,스퍼맨이 돌아왔다! 근데 현자가 되어 돌아왔다!,['현자'],0
2019 병영일기,웹툰작가,9.83,"에피소드, 개그",0,"웹툰 주인공 잠시 접고 군입대를 명 받았습니다!!기상 나팔이 울리는 아침부터, 지옥 점호의 저녁까지... 웹툰 주인공들의 군 생활 대방출!!","['입대', '기상', '저녁', '아침', '지옥', '주인공', '나팔', '생활', '방출', '점호']",0
Penguin loves Mev,펭귄,9.96,"에피소드, 일상",0,한국여자 펭귄과 영국남자 메브의 엉뚱 발랄 러브 스토리.시즌3 In the UK.,"['시즌', '펭귄과', '스토리', '영국', '러브', '한국']",0
트라우마,곽백수,9.92,"에피소드, 개그",0,"황당하고 골 때리는 반전! 
Trauma(-정신적 외상)를 입을 만한 초특급 코믹 펀치! 직접 확인하세요","['펀치', '초특급', '확인', '반전', '특급', '코믹', '외상', '정신', '정신적']",0
모두에게 완자가,완자,9.71,"에피소드, 일상",0,"아무도 눈치보지 않고 사랑할 수 있는 그날이 오기를!
사랑하며 살아가는 그녀들의 일상이야기 <모두에게, 완자가>","['사랑', '모두', '일상', '자가', '완자', '그날', '오기']",0
오늘도 형제는 평화롭다,GIMS,9.97,"에피소드, 개그",0,"돈독한 형제들의 이야기,
사건의 중심엔 늘 그들이 있다.","['형제', '중심', '사건']",0
혈액형에 관한 간단한 고찰,박동선,9.89,"에피소드, 일상",0,"섬세하고 자유분방한, 우유부단 하면서 분석력 있는
서로 다른 혈액형들 사이에서 벌어지는 좌충우돌 유쾌한 에피소드.","['자유분방', '섬세', '하면서', '혈액형', '분석력', '좌충우돌', '에피소드', '우유부단']",0
사소한 냐냐,LICO,9.86,"에피소드, 일상",0,움직이는 웹툰 숏애니! 4개월 이후 중성화 수술을 하게 되는 '냐냐'과연 사.소(사이코패스+소시오패스)한 고양이로 거듭나 땅콩을 사수할 수 있을까?!,"['수술', '사수', '중성화', '이후', '패스', '고양이', '소시', '사이코']",0
오늘 밤은 어둠이 무서워요,김진,9.96,"에피소드, 일상",0,"뜻하지 않은 시기, 어쩌다 시작된 김진의 독립생활.그녀의 자취생활과 그녀의 연애 이야기.","['시기', '독립생활', '자취', '독립', '생활', '연애']",0
여탕보고서,마일로,9.95,"에피소드, 개그",0,금남의 공간 신비의 세계 여탕가본 자가 알려주는 그곳의 진실,"['여탕', '자가', '진실', '신비', '세계', '공간', '가본', '금남']",0
살인자o난감,꼬마비 / 노마비,9.97,"에피소드, 스릴러",0,반전이 거듭될 수록 독자는 혼란에 빠진다.,"['독자', '혼란', '수록', '반전']",0
스퍼맨 시즌2,하일권,9.97,"에피소드, 판타지",0,능력을 잃어버린 스퍼맨 앞에 망상염력능력자가 나타났다.그런데 야한(?) 망상만 가능하다고...?,"['망상', '능력자', '야한', '가능', '염력', '능력']",0
2D남친 별책부록,웹툰작가,9.82,"에피소드, 로맨스",0,인기 로맨스 웹툰 남자주인공의 심쿵 컷 대방출!미공개 에피소드를 지금 만나보세요,"['공개', '로맨스', '인기', '주인공', '에피소드', '방출']",0
우리집에 곰이 이사왔다,켄타,9.97,"에피소드, 감성",0,"마법의 숲,테바의 최정예 요원 곰토토! 국가의 명령으로 인간 세상으로 파견되었다.털북숭이계의 에이스, 곰토토의 파란만장한 인간세상 개고생 라이프!","['마법', '북숭이', '계의', '국가', '고생', '라이프', '파견', '요원', '명령', '에이스', '개고', '세상', '파란만장', '정예']",0
슈퍼 시크릿,이온,9.98,"에피소드, 로맨스",0,평범한 여대생 은호와 조금 특별한 소꿉친구 견우의 술래잡기. 은호만 모르는 이웃집의 비밀들이 밝혀진다,"['친구', '소꿉', '이웃집', '술래잡기', '여대생', '조금', '특별', '여대', '비밀', '견우']",0
내 ID는 강남미인! - 둘만의 시간,기맹기,9.96,"에피소드, 로맨스",0,연애가 처음인 커플의 여행 계획♥회색 아기 고양이의 섹시한 컴백?!​<내 ID는 강남미인!> 드라마화 기념 특별외전,"['계획', '여행', '강남', '처음', '회색', '섹시', '연애', '미인', '커플', '컴백', '고양이', '특별', '기념', '아기', '외전', '드라마']",0
실질객관동화,무적핑크,9.9,"에피소드, 개그",0,동화를 객관적인 시각에서 보면 어떻게 될까?생소한 시각으로 동화 다시 보기,"['동화', '시각', '객관', '객관적', '생소']",0
스마트폰 게임 개발 이야기,유영욱,9.74,"에피소드, 일상",0,"생생한 게임 개발의 현장을 전한다!
유쾌발랄 좌충우돌 게임 개발 이야기.","['좌충우돌', '개발', '게임', '현장']",0
빙탕후루,장희 / 주호민,9.96,"에피소드, 판타지",0,<신과 함께> 주호민 작가의 신작! 잔인하고 무자비한 환상 속 요괴들이 현세를 어지럽히는 중국 송나라귀안도사와 여연이 팔귀 퇴치의 여정을 떠난다.,"['잔인', '퇴치', '요괴', '중국', '현세', '주호', '송나라', '환상', '여정', '자비']",0
