idx,name,score,writer,age_limit
562,인싸라이프,9.09,힐링달,0
563,노력의 결과,9.94,악파,0
564,합법해적 파르페,9.95,뼈피살,0
565,물레,9.81,고긱,0
566,꼬리 있는 연애,9.92,진하,0
567,레사(lessa),9.95,POGO,0
568,위험한 신입사원,9.65,박수정,0
569,여름은 뜨겁다,9.21,JQ,0
570,제로게임,9.97,즐바센,0
571,죽여주는 탐정님,9.87,뻥,0
572,구주의 시간,9.83,송극장,0
573,매지컬 메디컬,9.86,지공,0
574,FM보이,9.96,육일공,0
575,커피도둑,9.94,유지별이,0
576,스몰,9.90,을승,0
577,평범한 8반,9.85,영파카,0
578,사우러스,9.83,이노,0
579,노선도,9.79,효기,0
580,칼부림,9.90,고일권,0
581,함부로 대해줘,9.87,선우,0
582,비스타,8.16,유마,0
583,누군가의 로섬,9.95,방농구,0
584,블루투스,7.44,국승원,0
585,개장수,9.98,김규삼,0
586,나의 첫번째 새벽,9.93,신매,0
587,먹지마세요,9.94,노도,0
588,닥터 하운드,9.97,아루아니,0
589,교환일기,9.94,한끼룩,0
590,[드라마원작] 스위트홈,9.97,김칸비,0
591,럭키언럭키,9.94,가천가,0
592,러브슬립,9.79,오창호,0
593,노블레스,9.62,손제호,0
594,그녀의 버킷리스트,9.94,황양,0
595,가타부타타,9.95,숭어,0
596,한번 더 해요,9.91,미티,0
597,친애하는 X,9.97,반지운,0
598,거미,9.89,모아이,0
599,타인은 지옥이다,9.86,김용키,0
600,골든 체인지,9.98,브림스,0
601,데드라이프,9.65,후렛샤,0
602,러브슬립 2부,9.83,오창호,0
603,구구까까,9.94,혜니,0
604,용비불패 완전판,9.98,류기운,0
605,위대한 방옥숙,9.95,매미,0
606,하이브 1~2,9.95,김규삼,0
607,유비님께 투자하겠어,4.21,B급달궁,0
608,스피릿 핑거스,9.98,한경찰,0
609,하우스키퍼,9.97,채용택,0
610,에이머,9.79,구동인,0
611,이웃집의 훈훈한 스토커군,4.27,teamGOGI+,0
612,하이브 3,9.97,김규삼,0
613,그 판타지 세계에서 사는 법,9.98,촌장,0
614,개미,9.79,재희,0
615,피와 살,9.94,황준호,0
616,어쩔꼰대,9.85,강선율,0
617,오버더문,9.93,포르토,0
618,검은인간,9.98,이저녁,0
619,오늘도 사랑스럽개,9.98,이혜,0
620,결백한 사람은 없다,9.85,서각,0
621,3cm 헌터,9.89,돌연변이,0
622,마술사,9.93,김세래,0
623,특수 영능력 수사반,9.56,사다함,0
624,비흔,9.94,정재한,0
625,낮에 뜨는 달,9.93,헤윰,0
626,헬퍼,9.95,삭,0
627,모범택시,9.83,까를로스,0
628,8월의 눈보라,9.35,김리아,0
629,헬로도사,9.62,웅비,0
630,나노리스트,9.98,민송아,0
631,텃밭부 사건일지,9.98,오이츄,0
632,둥굴레차!,9.95,기라3,0
633,방백남녀,9.92,고태호,0
634,지금 우리 학교는,9.52,주동근,0
635,타인지옥 - 연쇄살묘사건,9.90,김용키,0
